PUN,Status,Recipe/Task,Total Execution Time (s)
1122306M01100800,Pass,14,0.37692179449626917
1122305M01303050,Pass,22,0.21287969734505888
1122305M01402900,Fail,12,0.27081439633895266
1122306M01400860,Pass,22,0.2149991973082512
1122305M01303050,Pass,34,0.1819772985763649
1122305M01202880,Pass,32,0.23722819761686614
1122305M01402740,Pass,22,0.22453939714257407
1222306M01301010,Pass,33,0.26340519716227084
1122305M01102510,Pass,23,0.2111729973746978
1122305M01302450,Pass,11,0.24535729678104604
1222306M01100990,Pass,32,0.25361249733233293
1122306M01300620,Pass,24,0.23342339698829268
1122306M01100520,Pass,21,0.20384809750190355
1122305M01402940,Pass,11,0.27668779623695394
1122306M01400230,Pass,14,0.48984939253514465
1122305M01103030,Pass,23,0.19239969770071888
1122306M01400670,Pass,33,0.20445649818598638
1122305M01403140,Pass,33,0.21989689791784517
1122306M01400510,Pass,34,0.21045499808181517
